panel_id,metric_output_id,status,mismatch_fields,actual_ag,paper_ag,actual_acc_cross,paper_acc_cross,actual_d_ag,paper_d_ag,actual_d_acc,paper_d_acc,native_state,paper_panel_state
d2_20_b,f1,matched,,0.42903582509367005,0.42903582509367005,0.6841927083333332,0.6841927083333332,-0.05804909360586563,-0.05804909360586563,-0.0965625000000001,-0.0965625000000001,complete,complete
d2_20_a,artifact_peak_ratio,matched,,0.4467827853802707,0.4467827853802707,0.6055729166666667,0.6055729166666667,-0.27714298862457665,-0.27714298862457665,-0.1610156250000001,-0.1610156250000001,complete,complete
d2_20_b,artifact_peak_ratio,matched,,0.4264714572163512,0.4264714572163512,0.6830468749999999,0.6830468749999999,-0.05548472572854679,-0.05548472572854679,-0.0977083333333334,-0.0977083333333334,complete,complete
d2_20_a,missing_peak_ratio,matched,,0.44654407909535354,0.44654407909535354,0.6123958333333334,0.6123958333333334,-0.27690428233965947,-0.27690428233965947,-0.15419270833333343,-0.15419270833333343,complete,complete
d2_20_b,missing_peak_ratio,matched,,0.4423344569418659,0.4423344569418659,0.6822135416666666,0.6822135416666666,-0.07134772545406148,-0.07134772545406148,-0.09854166666666675,-0.09854166666666675,complete,complete
d1_a,mse,matched,,0.13791234504722982,0.13791234504722982,0.768984375,0.768984375,,,,,complete,complete
d1_a,rmse,matched,,0.13745149786247934,0.13745149786247934,0.769921875,0.769921875,0.00046084718475047914,0.00046084718475047914,0.0009374999999999245,0.0009374999999999245,complete,complete
d1_a,mae,matched,,0.13259187071189085,0.13259187071189085,0.7804947916666667,0.7804947916666667,0.0053204743353389705,0.0053204743353389705,0.011510416666666634,0.011510416666666634,complete,complete
d1_a,sam,matched,,0.14281020017039547,0.14281020017039547,0.7689843749999999,0.7689843749999999,-0.004897855123165651,-0.004897855123165651,-1.1102230246251565e-16,-1.1102230246251565e-16,complete,complete
d1_a,pearson_r,matched,,0.1362413932242301,0.1362413932242301,0.7703385416666666,0.7703385416666666,0.0016709518229997278,0.0016709518229997278,0.0013541666666665453,0.0013541666666665453,complete,complete
d1_a,nmse,matched,,0.11819446589497339,0.11819446589497339,0.7684895833333335,0.7684895833333335,0.019717879152256437,0.019717879152256437,-0.0004947916666665497,-0.0004947916666665497,complete,complete
d1_a,wasserstein_1_cm1,matched,,0.03914087083254116,0.03914087083254116,0.8309895833333335,0.8309895833333335,0.09877147421468865,0.09877147421468865,0.06200520833333345,0.06200520833333345,complete,complete
d1_a,is_like_structure_to_noise,matched,,0.38029605838842234,0.38029605838842234,0.29752604166666674,0.29752604166666674,-0.24238371334119252,-0.24238371334119252,-0.4714583333333333,-0.4714583333333333,complete,complete
d1_a,precision,matched,,0.35679836757739763,0.35679836757739763,0.613671875,0.613671875,-0.2188860225301678,-0.2188860225301678,-0.15531250000000008,-0.15531250000000008,complete,complete
d1_a,recall,matched,,0.3544911724417275,0.3544911724417275,0.6195052083333333,0.6195052083333333,-0.21657882739449769,-0.21657882739449769,-0.14947916666666672,-0.14947916666666672,complete,complete
