panel_id,endpoint_id,protocol_id,family,alpha,scope,signed_mean,positive_mean,negative_mean,absolute_mean,signed_mean_lower,signed_mean_upper,positive_mean_lower,positive_mean_upper,negative_mean_lower,negative_mean_upper,absolute_mean_lower,absolute_mean_upper,positive_absolute_share,negative_absolute_share,zero_denominator_state
d2_5_b,d2_5,b,p11,integrated_equal_alpha,integrated,-0.04822499999999999,0.0015916666666666713,0.049816666666666655,0.05140833333333334,-0.0629425,-0.03408124999999999,0.0004997916666666675,0.0029418750000000105,0.03616479166666667,0.06387520833333334,0.03835,0.06490041666666665,0.030961257902415388,0.9690387420975843,complete
d2_5_b,d2_5,b,p12,integrated_equal_alpha,integrated,-0.02529999999999999,0.00323333333333334,0.028533333333333334,0.03176666666666667,-0.03605145833333334,-0.015519583333333361,0.0012997916666666717,0.0055418750000000155,0.019783124999999988,0.03804166666666667,0.02364729166666666,0.04038354166666667,0.1017838405036728,0.8982161594963273,complete
d2_10_a,d2_10,a,p08,integrated_equal_alpha,integrated,0.3092083333333333,0.30955,0.0003416666666666667,0.3098916666666666,0.2562977083333334,0.3611370833333333,0.25654479166666666,0.36146854166666664,0.0,0.0009999999999999998,0.256890625,0.3616864583333333,0.9988974641675855,0.0011025358324145537,complete
d2_10_a,d2_10,a,p09,integrated_equal_alpha,integrated,0.10734999999999999,0.10809166666666666,0.0007416666666666687,0.10883333333333332,0.08411624999999996,0.13022187499999996,0.08511333333333333,0.13088479166666664,0.00028333333333333677,0.0013750000000000012,0.08595666666666665,0.13146416666666663,0.9931852986217458,0.00681470137825423,complete
d2_10_a,d2_10,a,p10,integrated_equal_alpha,integrated,0.33178333333333326,0.33197499999999996,0.00019166666666666822,0.33216666666666667,0.2779729166666666,0.3833683333333333,0.278298125,0.38356104166666666,8.33333333333334e-06,0.00047500000000000135,0.27859687499999997,0.3836904166666666,0.9994229804315102,0.0005770195684897186,complete
d2_10_a,d2_10,a,p11,integrated_equal_alpha,integrated,0.025149999999999968,0.046074999999999984,0.020925000000000017,0.067,-0.003736041666666688,0.0548845833333333,0.02637354166666665,0.06855562499999995,0.008407291666666677,0.03565895833333334,0.04892458333333334,0.0878675,0.6876865671641789,0.31231343283582114,complete
d2_10_a,d2_10,a,p12,integrated_equal_alpha,integrated,0.002941666666666649,0.014333333333333328,0.011391666666666678,0.025725000000000005,-0.009641666666666679,0.014891874999999992,0.00809083333333333,0.021293958333333314,0.004049583333333343,0.020143958333333333,0.018232083333333322,0.03410041666666667,0.5571752510528017,0.4428247489471983,complete
d2_10_b,d2_10,b,p08,integrated_equal_alpha,integrated,0.06084999999999998,0.06247499999999998,0.0016250000000000038,0.06409999999999999,0.045082708333333325,0.07810833333333331,0.04790729166666666,0.07871062499999996,0.00011666666666666862,0.004150208333333339,0.050372083333333324,0.07971666666666664,0.9746489859594383,0.025351014040561688,complete
d2_10_b,d2_10,b,p09,integrated_equal_alpha,integrated,0.20709166666666665,0.21470833333333333,0.0076166666666666735,0.222325,0.15809895833333334,0.2552708333333332,0.16798624999999998,0.26070833333333326,0.003699583333333338,0.01218375000000001,0.17701416666666672,0.26648083333333333,0.9657408448592526,0.034259155140747434,complete
d2_10_b,d2_10,b,p10,integrated_equal_alpha,integrated,0.3855166666666667,0.38697499999999996,0.0014583333333333354,0.3884333333333333,0.3172554166666666,0.4507879166666667,0.31889458333333337,0.45152895833333323,0.0002666666666666669,0.0031502083333333404,0.3205429166666667,0.45252708333333325,0.9962456019909036,0.0037543980090963755,complete
d2_10_b,d2_10,b,p11,integrated_equal_alpha,integrated,-0.03736666666666668,0.002449999999999993,0.039816666666666674,0.04226666666666667,-0.04899312500000001,-0.025263750000000043,3.333333333333244e-05,0.006525208333333315,0.02953333333333334,0.05034270833333334,0.03248208333333335,0.052260833333333326,0.05796529968454242,0.9420347003154576,complete
d2_10_b,d2_10,b,p12,integrated_equal_alpha,integrated,-0.021550000000000017,0.003433333333333324,0.02498333333333334,0.02841666666666666,-0.031083958333333352,-0.011464375000000042,0.0008247916666666619,0.007783541666666645,0.017290833333333335,0.03304270833333334,0.021015416666666658,0.036033333333333334,0.12082111436950116,0.879178885630499,complete
d2_20_a,d2_20,a,p08,integrated_equal_alpha,integrated,0.348025,0.3503833333333333,0.002358333333333333,0.3527416666666667,0.28488562500000003,0.40354187499999994,0.28917958333333327,0.40503020833333336,0.0,0.0070666666666666655,0.29399666666666663,0.40686666666666665,0.9933142762644994,0.006685723735500483,complete
d2_20_a,d2_20,a,p09,integrated_equal_alpha,integrated,0.11584166666666669,0.11667500000000004,0.0008333333333333357,0.11750833333333337,0.08876145833333333,0.141376875,0.08939166666666669,0.14212583333333337,0.00031666666666666833,0.001491666666666667,0.09041937500000001,0.1428691666666667,0.9929083043755763,0.007091695624423818,complete
