finding_type,panel_id,analysis_id,outcome,point_effect,lower_95,upper_95,holm_adjusted_p,status,note
panel_effect,d2_20_b,native_all5,AG,-0.04649590134066395,-0.07577789059784337,-0.026677157952212354,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_b,native_all5,OC,-0.05161458333333335,-0.06539127604166665,-0.03752473958333334,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_b,native_no_axis,AG,-0.05717590174236814,-0.09815712273391118,-0.03123926998221828,0.09183908160918391,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_b,native_no_axis,OC,-0.10017361111111123,-0.13698133680555558,-0.06169921875000009,0.0033999660003399966,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_b,common_grid_all5,AG,0.017480964279140254,-0.019684012432783105,0.03423126603298705,1.0,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_b,common_grid_all5,OC,0.060416666666666674,0.04510416666666666,0.0748997395833333,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_b,common_grid_no_axis,AG,-0.06328237754731053,-0.1109433138611496,-0.04092363529003632,0.07071929280707193,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_b,common_grid_no_axis,OC,-0.11215277777777788,-0.15243055555555554,-0.06856770833333337,0.003149968500314997,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_a,native_all5,AG,0.012898677873667636,-0.004765829719964577,0.027435597115814888,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_a,native_all5,OC,-0.011416015624999942,-0.015765055338541667,-0.006787027994791668,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_a,native_no_axis,AG,0.014985216129882684,-0.005541265519223989,0.03185347061455115,1.0,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_a,native_no_axis,OC,-0.0595594618055556,-0.07137776692708335,-0.04767768012152778,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_a,common_grid_all5,AG,0.016577609448083147,-0.0018950948000656458,0.031578724074565634,0.8933510664893352,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_a,common_grid_all5,OC,-0.015195312499999836,-0.01976676432291667,-0.010624348958333335,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_a,common_grid_no_axis,AG,0.01925328975251589,-0.0022143612749245044,0.036653944315579855,0.8933510664893352,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_a,common_grid_no_axis,OC,-0.060134548611111005,-0.07261393229166668,-0.04737413194444444,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_b,native_all5,AG,-0.08075308363789407,-0.10757413272674146,-0.06109047339702107,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_b,native_all5,OC,-0.11821940104166662,-0.12245792643229166,-0.113677734375,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d4_b,native_no_axis,AG,-0.09180478489501465,-0.13104596439278948,-0.06600901833219673,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
