panel_id,endpoint_id,protocol_id,analysis_id,representation,perturbation_scope,metric_output_id,ag_state,oc_state,ag,oc,ag_sst,ag_sse_pooled,ag_sse_separate,ag_r2_pooled,ag_r2_separate,delta_ag,delta_oc,cluster_count,condition_count,historical_ag_lower,historical_ag_upper,historical_oc_lower,historical_oc_upper,historical_raw_p_ag,historical_raw_p_oc,bootstrap_ag_lower,bootstrap_ag_upper,bootstrap_oc_lower,bootstrap_oc_upper,bootstrap_delta_ag_lower,bootstrap_delta_ag_upper,bootstrap_delta_oc_lower,bootstrap_delta_oc_upper,raw_p_ag,raw_p_oc,p_for_adjustment_ag,p_for_adjustment_oc,adjusted_p_ag,adjusted_p_oc,family_id_ag,family_id_oc,family_size_ag,family_size_oc,holm_rank_ag,holm_rank_oc,failed_sst_draw_count
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,rmse,complete,complete,0.32931405253963725,0.6228298611111112,26.45776461465777,23.337236902063736,14.624323215670973,0.11794374007187447,0.44725779261151166,-0.0002534145705336277,-0.0006076388888888173,240,24,,,,,,,0.21536984387108704,0.48194951694525284,0.6167089843750001,0.6286458333333333,-0.0006349557750064793,4.754992489275326e-05,-0.0014756944444444453,0.00017361111111111096,0.17434825651743482,0.1943880561194388,0.17434825651743482,0.1943880561194388,1.0,1.0,other_metrics_secondary_726,other_metrics_secondary_726,726,726,566,577,0
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,mae,complete,complete,0.3370454016068645,0.5612413194444446,26.45776461465777,23.568605534258197,14.65113763409098,0.10919891088603007,0.44624431249289453,-0.007984763637760905,-0.062196180555555425,240,24,,,,,,,0.22122215356261654,0.4976584650710805,0.5570735677083334,0.5650184461805556,-0.017719324320634295,-0.005031113662677913,-0.06644965277777777,-0.05815863715277777,2.999970000299997e-05,9.99990000099999e-06,2.999970000299997e-05,9.99990000099999e-06,0.011639883601163989,0.007259927400725993,other_metrics_secondary_726,other_metrics_secondary_726,726,726,348,247,0
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,sam,complete,complete,0.3149513988632499,0.6098307291666667,26.45776461465777,23.212929090115857,14.880019113934798,0.1226420890729466,0.43759348793619646,0.01410923910585371,-0.013606770833333282,240,24,,,,,,,0.20586355202233594,0.4622883356257203,0.6042100694444446,0.6152137586805556,0.006993402933457663,0.023595850375694533,-0.017014973958333332,-0.010156250000000004,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,0.007259927400725993,0.007259927400725993,other_metrics_secondary_726,other_metrics_secondary_726,726,726,256,257,0
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,pearson_r,complete,complete,0.3241297656835717,0.5971788194444444,26.45776461465777,23.676802962112745,15.101053917052628,0.10510947138007087,0.42923923706364264,0.0049308722855319065,-0.02625868055555558,240,24,,,,,,,0.21224393300428654,0.4766351537904856,0.5909722222222221,0.6032335069444446,0.0005640249813274774,0.009652106445071694,-0.03194444444444443,-0.020680881076388886,0.008789912100878991,9.99990000099999e-06,0.008789912100878991,9.99990000099999e-06,1.0,0.007259927400725993,other_metrics_secondary_726,other_metrics_secondary_726,726,726,465,251,0
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,nmse,complete,complete,0.2926555939048474,0.6234375,26.45776461465777,22.626581888011003,14.883569071313678,0.14480371952981497,0.4374593134346624,0.03640504406425621,0.0,240,24,,,,,,,0.1938644379208427,0.4264834631138828,0.6173611111111111,0.6293402777777779,0.019737282794730464,0.060604124284750295,0.0,0.0,9.99990000099999e-06,1.0,9.99990000099999e-06,1.0,0.007259927400725993,1.0,other_metrics_secondary_726,other_metrics_secondary_726,726,726,250,726,0
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,wasserstein_1_cm1,complete,complete,0.4223625954972117,0.25462239583333335,26.45776461465777,25.940272259274874,14.765502125573732,0.01955918661005096,0.44192178210726274,-0.0933019575281081,-0.36881510416666663,240,24,,,,,,,0.28307193143374926,0.6166309749959723,0.24667805989583333,0.26365017361111115,-0.13347204517446895,-0.06705292489847059,-0.3797309027777777,-0.3564870876736111,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,0.0006599934000659994,0.0006599934000659994,w1_axis_primary_66,w1_axis_primary_66,66,66,16,17,0
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,is_like_structure_to_noise,complete,complete,0.13293145795336087,0.7449652777777779,26.45776461465777,21.674328303551427,18.15725907913813,0.18079517981864157,0.3137266377720024,0.19612918001574275,0.1215277777777779,240,24,,,,,,,0.08552237817702919,0.1959801462068624,0.7358284505208332,0.7530381944444445,0.12681555353814158,0.2892375475522272,0.11252061631944445,0.1304714626736111,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,0.007259927400725993,0.007259927400725993,other_metrics_secondary_726,other_metrics_secondary_726,726,726,245,246,0
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,precision,complete,complete,0.06481181035119195,0.8479166666666667,26.45776461465777,17.153625812709784,15.438850190188107,0.35166004904259496,0.41647185939378695,0.2642488276179117,0.22447916666666667,240,24,,,,,,,0.043594321332102365,0.09685368520486191,0.836609157986111,0.857878146701389,0.1702075729869223,0.38783424376861525,0.21408311631944443,0.23433213975694447,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,0.007259927400725993,0.007259927400725993,other_metrics_secondary_726,other_metrics_secondary_726,726,726,252,253,0
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,recall,complete,complete,0.07326764987135972,0.8468967013888888,26.45776461465777,17.025235605757832,15.086737371592235,0.35651269660454443,0.42978034647590424,0.25579298809774387,0.22345920138888886,240,24,,,,,,,0.04971789976902669,0.10872668341689035,0.8355425347222223,0.8568798828125,0.163879830671595,0.3759322083658249,0.21304036458333334,0.23337727864583335,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,0.007259927400725993,0.007259927400725993,other_metrics_secondary_726,other_metrics_secondary_726,726,726,254,255,0
d4_b,d4,b,common_grid_no_axis,common_grid,no_axis,f1,complete,complete,0.06935887956353748,0.8469618055555556,26.45776461465777,17.102923838960876,15.267842929532405,0.35357638530483604,0.4229352648683735,0.25970175840556614,0.22352430555555558,240,24,,,,,,,0.047203442641098,0.10366972467288235,0.8355870225694444,0.8569661458333333,0.1670046706501992,0.38127270607823344,0.21310655381944443,0.23344184027777776,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,9.99990000099999e-06,0.007259927400725993,0.007259927400725993,other_metrics_secondary_726,other_metrics_secondary_726,726,726,243,244,0
