panel_id,endpoint_id,protocol_id,representation,metric_output_id,left_family,right_family,state,pair_count_per_cluster,pair_count_total,oc,strict_agreement_count,strict_incorrect_count,metric_tie_count,downstream_tie_count,double_tie_count,bootstrap_lower,bootstrap_upper
d1_a,d1,a,native,recall,p11,p12,complete,64,1920,0.59375,856,496,433,88,47,0.5281184895833333,0.6505338541666665
d1_a,d1,a,native,f1,p08,p09,complete,64,1920,0.21145833333333333,396,1504,0,20,0,0.15130208333333334,0.28569661458333323
d1_a,d1,a,native,f1,p08,p10,complete,64,1920,0.6057291666666667,1156,750,0,14,0,0.5429622395833333,0.6708398437499999
d1_a,d1,a,native,f1,p08,p11,complete,64,1920,0.7205729166666667,1371,524,0,25,0,0.6734375,0.7593815104166667
d1_a,d1,a,native,f1,p08,p12,complete,64,1920,0.7208333333333333,1371,523,0,26,0,0.6807161458333334,0.75
d1_a,d1,a,native,f1,p09,p10,complete,64,1920,0.15625,296,1616,0,8,0,0.13333333333333333,0.184375
d1_a,d1,a,native,f1,p09,p11,complete,64,1920,0.69140625,1307,572,0,41,0,0.6447916666666667,0.73021484375
d1_a,d1,a,native,f1,p09,p12,complete,64,1920,0.8388020833333333,1590,289,0,41,0,0.7713541666666667,0.8940169270833334
d1_a,d1,a,native,f1,p10,p11,complete,64,1920,0.73828125,1407,492,0,21,0,0.7127604166666667,0.7580729166666667
d1_a,d1,a,native,f1,p10,p12,complete,64,1920,0.90546875,1730,173,0,17,0,0.88619140625,0.9203125
d1_a,d1,a,native,f1,p11,p12,complete,64,1920,0.59375,856,496,433,88,47,0.5281184895833333,0.6505338541666665
d1_a,d1,a,native,artifact_peak_ratio,p08,p09,complete,64,1920,0.21145833333333333,396,1504,0,20,0,0.15130208333333334,0.28569661458333323
d1_a,d1,a,native,artifact_peak_ratio,p08,p10,complete,64,1920,0.5625,1073,833,0,14,0,0.49817057291666667,0.6312565104166666
d1_a,d1,a,native,artifact_peak_ratio,p08,p11,complete,64,1920,0.7091145833333333,1349,546,0,25,0,0.6650976562500001,0.7463541666666667
d1_a,d1,a,native,artifact_peak_ratio,p08,p12,complete,64,1920,0.7208333333333333,1371,523,0,26,0,0.6807161458333334,0.75
d1_a,d1,a,native,artifact_peak_ratio,p09,p10,complete,64,1920,0.171875,326,1586,0,8,0,0.15,0.1989713541666666
d1_a,d1,a,native,artifact_peak_ratio,p09,p11,complete,64,1920,0.68515625,1295,584,0,41,0,0.6393033854166666,0.7216341145833332
d1_a,d1,a,native,artifact_peak_ratio,p09,p12,complete,64,1920,0.8388020833333333,1590,289,0,41,0,0.7713541666666667,0.8940169270833334
d1_a,d1,a,native,artifact_peak_ratio,p10,p11,complete,64,1920,0.73828125,1407,492,0,21,0,0.7127604166666667,0.7580729166666667
d1_a,d1,a,native,artifact_peak_ratio,p10,p12,complete,64,1920,0.9049479166666666,1729,174,0,17,0,0.8859309895833334,0.91953125
d1_a,d1,a,native,artifact_peak_ratio,p11,p12,complete,64,1920,0.59375,856,496,433,88,47,0.5281184895833333,0.6505338541666665
d1_a,d1,a,native,missing_peak_ratio,p08,p09,complete,64,1920,0.21145833333333333,396,1504,0,20,0,0.15130208333333334,0.28569661458333323
d1_a,d1,a,native,missing_peak_ratio,p08,p10,complete,64,1920,0.6380208333333334,1218,688,0,14,0,0.5773372395833334,0.6986979166666667
d1_a,d1,a,native,missing_peak_ratio,p08,p11,complete,64,1920,0.72109375,1372,523,0,25,0,0.6747265625,0.7604296874999998
d1_a,d1,a,native,missing_peak_ratio,p08,p12,complete,64,1920,0.7208333333333333,1371,523,0,26,0,0.6807161458333334,0.75
d1_a,d1,a,native,missing_peak_ratio,p09,p10,complete,64,1920,0.14322916666666666,271,1641,0,8,0,0.12083333333333333,0.17032552083333327
d1_a,d1,a,native,missing_peak_ratio,p09,p11,complete,64,1920,0.6903645833333333,1305,574,0,41,0,0.6421875,0.7299544270833334
d1_a,d1,a,native,missing_peak_ratio,p09,p12,complete,64,1920,0.8388020833333333,1590,289,0,41,0,0.7713541666666667,0.8940169270833334
d1_a,d1,a,native,missing_peak_ratio,p10,p11,complete,64,1920,0.73828125,1407,492,0,21,0,0.7127604166666667,0.7580729166666667
