panel_id,endpoint_id,protocol_id,component,positive_harm_share,positive_harm_share_lower,positive_harm_share_upper,positive_denominator_state,absolute_harm_share,absolute_harm_share_lower,absolute_harm_share_upper,absolute_denominator_state
d2_20_b,d2_20,b,p12,0.005292938967372816,0.0017485264146449376,0.01022909631454697,complete,0.024959107544216798,0.018412004783681445,0.03290848866440862,complete
d2_20_b,d2_20,b,axis_p11_p12,0.00851911129034291,0.0030238547746806424,0.015981219722748873,complete,0.05963826357099987,0.04621120804400369,0.07534901635895816,complete
d4_a,d4,a,p08,0.38534057364120033,0.3709942377471455,0.3990793308285483,complete,0.38531683085677426,0.370973593474869,0.39906210949870574,complete
d4_a,d4,a,p09,0.07707998987163892,0.07246766519393168,0.08214352811386909,complete,0.07707524058306596,0.07246519739545619,0.08213827319673953,complete
d4_a,d4,a,p10,0.5375035518737857,0.5268469316209436,0.5487642427296019,complete,0.5374704335575913,0.5268104380232088,0.5487232764847457,complete
d4_a,d4,a,p11,6.788765163341217e-05,5.885928734314012e-05,7.84213537266704e-05,complete,9.955355938479608e-05,8.48197070554886e-05,0.00011774850644648654,complete
d4_a,d4,a,p12,7.996961741779134e-06,2.863111534792348e-06,1.6712998427081397e-05,complete,3.7941443183647016e-05,2.4701177399115606e-05,5.4916154679233805e-05,complete
d4_a,d4,a,axis_p11_p12,7.58846133751913e-05,6.303269363238921e-05,9.311317861266718e-05,complete,0.00013749500256844308,0.00011174446349859011,0.0001704818247723918,complete
d4_b,d4,b,p08,0.003103814711946922,0.0005068801025990972,0.008191950109161373,complete,0.027559418928049084,0.018668571059058826,0.03815732556168587,complete
d4_b,d4,b,p09,0.5110507293917582,0.5031958739601401,0.5184492938336829,complete,0.49358871918313474,0.48159817521928533,0.5048752325605582,complete
d4_b,d4,b,p10,0.4784374029212148,0.4717025123403317,0.48528316055183135,complete,0.45931872064799834,0.4464688573688598,0.4705725918883171,complete
d4_b,d4,b,p11,0.004073351843336981,0.002090987204148609,0.006780479777527212,complete,0.010548295234879846,0.005884986763388228,0.016537979265395398,complete
d4_b,d4,b,p12,0.0033347011317430906,0.0017744133607732432,0.005505197488186428,complete,0.00898484600593803,0.0047415421643693355,0.014598919887083946,complete
d4_b,d4,b,axis_p11_p12,0.007408052975080071,0.0038648373957525114,0.012315244457957198,complete,0.019533141240817876,0.010610734412083113,0.031235861843129497,complete
d5_a,d5,a,p08,0.47430904691016057,0.45523775733524185,0.49312675910370496,complete,0.4673452596038735,0.4493534190693866,0.48501982615200445,complete
d5_a,d5,a,p09,0.11955862504372006,0.10218610868037599,0.1368532749181476,complete,0.13423303224691827,0.11909805299957245,0.14942850667705337,complete
d5_a,d5,a,p10,0.36540994147816297,0.3506231040984633,0.37918315536781905,complete,0.3443774862288089,0.33021245896728196,0.35823454929640824,complete
d5_a,d5,a,p11,0.03997034992029349,0.028761583305344684,0.051340220273300916,complete,0.052399641536910326,0.041785948103354655,0.06349173713446425,complete
d5_a,d5,a,p12,0.0007520366476628727,0.0,0.0022505920330081167,complete,0.0016445803834889065,0.00028139033978983734,0.0034511128454215575,complete
d5_a,d5,a,axis_p11_p12,0.04072238656795637,0.029168333557908033,0.05235181415305196,complete,0.05404422192039923,0.042818919062618976,0.06548459253994456,complete
d5_b,d5,b,p08,0.36660519263639446,0.35067409795350357,0.38242297461299146,complete,0.3806277996150346,0.3650999343740194,0.39606181591155787,complete
d5_b,d5,b,p09,0.2282741001106921,0.21439552254186206,0.241556483859817,complete,0.22874345155080483,0.21607564335150856,0.24081607017265508,complete
d5_b,d5,b,p10,0.4039862974850082,0.39267864992105794,0.41569245273955796,complete,0.38828304168909594,0.37752190547123554,0.39906687410528036,complete
d5_b,d5,b,p11,0.0005216628859709662,0.0,0.0014103295796296543,complete,0.0018026967319213511,0.0003085855356075727,0.004062012208413823,complete
d5_b,d5,b,p12,0.0006127468819341507,0.0,0.0017755600811152489,complete,0.0005430104131432021,0.0,0.0015736661502329847,complete
d5_b,d5,b,axis_p11_p12,0.0011344097679051167,0.00011050926418498794,0.0025303013010250976,complete,0.002345707145064553,0.0005611221546479222,0.004772127784575527,complete
