panel_id,endpoint_id,protocol_id,family,alpha,scope,signed_mean,positive_mean,negative_mean,absolute_mean,signed_mean_lower,signed_mean_upper,positive_mean_lower,positive_mean_upper,negative_mean_lower,negative_mean_upper,absolute_mean_lower,absolute_mean_upper,positive_absolute_share,negative_absolute_share,zero_denominator_state
d2_20_a,d2_20,a,p10,0.5,alpha,0.5111333333333333,0.5124666666666667,0.0013333333333333326,0.5138,0.43159833333333336,0.5886666666666667,0.43386333333333343,0.589005,0.0,0.003999999999999998,0.43638166666666667,0.5894033333333333,0.997404956533022,0.0025950434669780704,complete
d2_20_a,d2_20,a,p10,0.65,alpha,0.5494666666666667,0.5506666666666666,0.0011999999999999992,0.5518666666666666,0.46959833333333334,0.62928,0.4719266666666667,0.6297999999999999,0.0,0.0035999999999999977,0.47431833333333334,0.6298183333333331,0.9978255617298865,0.002174438270113553,complete
d2_20_a,d2_20,a,p10,0.8,alpha,0.5728000000000001,0.5738666666666667,0.0010666666666666667,0.5749333333333334,0.4932450000000001,0.6521350000000001,0.4945933333333334,0.6524166666666666,0.0,0.0032,0.49659666666666663,0.6524166666666666,0.9981447124304267,0.0018552875695732837,complete
d2_20_a,d2_20,a,p10,integrated_equal_alpha,integrated,0.3768500000000001,0.3781333333333334,0.0012833333333333334,0.3794166666666667,0.317988125,0.43167520833333334,0.3201416666666666,0.4317858333333332,0.0,0.003783541666666665,0.32222125,0.4325558333333333,0.9966176147594993,0.0033823852405007685,complete
d2_20_a,d2_20,a,p11,0.05,alpha,-0.002333333333333317,0.0037333333333333532,0.00606666666666667,0.009800000000000024,-0.0074666666666666544,0.0026683333333333706,0.0019316666666666512,0.006266666666666703,0.002600000000000006,0.010266666666666667,0.006400000000000046,0.013801666666666696,0.38095238095238204,0.6190476190476178,complete
d2_20_a,d2_20,a,p11,0.1,alpha,-0.0015333333333333089,0.008800000000000018,0.010333333333333326,0.019133333333333342,-0.011669999999999972,0.008333333333333349,0.004800000000000008,0.013933333333333341,0.0038649999999999978,0.018466666666666645,0.012733333333333334,0.026999999999999993,0.4599303135888509,0.5400696864111492,complete
d2_20_a,d2_20,a,p11,0.2,alpha,0.005133333333333356,0.02053333333333336,0.015400000000000002,0.035933333333333366,-0.012334999999999988,0.02233666666666669,0.011600000000000027,0.03146666666666668,0.006129999999999999,0.027066666666666666,0.02519833333333339,0.047600000000000024,0.5714285714285716,0.42857142857142827,complete
d2_20_a,d2_20,a,p11,0.3,alpha,0.020733333333333364,0.03993333333333336,0.019199999999999995,0.05913333333333335,-0.007006666666666658,0.048335000000000024,0.024130000000000013,0.05880000000000004,0.005131666666666665,0.036199999999999996,0.041598333333333355,0.07774333333333332,0.6753100338218718,0.32468996617812834,complete
d2_20_a,d2_20,a,p11,0.4,alpha,0.03780000000000002,0.060333333333333336,0.022533333333333325,0.08286666666666666,0.0012666666666666954,0.07426666666666669,0.03759333333333332,0.08686999999999999,0.005731666666666657,0.04260499999999997,0.06006500000000002,0.10640833333333329,0.7280772325020114,0.27192276749798866,complete
d2_20_a,d2_20,a,p11,0.5,alpha,0.050133333333333356,0.07793333333333335,0.027799999999999984,0.10573333333333332,0.003530000000000042,0.09833666666666666,0.048265,0.11233666666666668,0.006998333333333325,0.05347333333333328,0.07606333333333334,0.13773333333333332,0.7370744010088276,0.2629255989911726,complete
