panel_id,metric_output_id,profile,d_ag,d_acc,d_ag_adjusted_p_value,d_acc_adjusted_p_value
d4_a,f1,Both −,-0.3667668877724132,-0.21755859374999997,0.00023999760002399976,0.00023999760002399976
d4_a,artifact_peak_ratio,Both −,-0.31439762180625697,-0.2185156250000001,0.00023999760002399976,0.00023999760002399976
d4_a,missing_peak_ratio,Both −,-0.37203066279749464,-0.22004231770833327,0.00023999760002399976,0.00023999760002399976
d4_b,rmse,Unresolved,-5.6049705018601514e-05,0.000270182291666754,1.0,1.0
d4_b,mae,Both −,-0.005206867525816394,-0.010843098958333353,0.004319956800431996,0.00023999760002399976
d4_b,nmse,AG +,0.01745864967042421,0.0001595052083332993,0.00023999760002399976,1.0
d4_b,sam,AG +,0.005619469039867431,-0.00020507812500003553,0.007629923700762993,1.0
d4_b,pearson_r,AG +,0.0052300782729711726,-0.00026367187499998224,0.027779722202777975,1.0
d4_b,wasserstein_1_cm1,Both −,-0.08075308363789407,-0.11821940104166662,0.00023999760002399976,0.00023999760002399976
d4_b,is_like_structure_to_noise,Both +,0.06153643764748562,0.028909505208333353,0.00023999760002399976,0.00023999760002399976
d4_b,precision,Both +,0.1164824108914792,0.07012369791666662,0.00023999760002399976,0.00023999760002399976
d4_b,recall,Both +,0.10568396302507224,0.07540039062500004,0.00023999760002399976,0.00023999760002399976
d4_b,f1,Both +,0.11022292218180957,0.07110677083333339,0.00023999760002399976,0.00023999760002399976
d4_b,artifact_peak_ratio,Both +,0.1164824108914792,0.07012369791666662,0.00023999760002399976,0.00023999760002399976
d4_b,missing_peak_ratio,Both +,0.10568396302507224,0.07540039062500004,0.00023999760002399976,0.00023999760002399976
d5_a,rmse,Unresolved,-0.00010386608980682277,0.0001411068281939043,1.0,0.903030969690303
d5_a,mae,OC +,-4.088100849070769e-05,0.0011747430249633428,1.0,0.00023999760002399976
d5_a,nmse,Unresolved,-0.0018151230421822352,0.0003510462555067484,0.6806931930680693,0.6806931930680693
d5_a,sam,AG −,-0.005628496715374538,-0.0005024779735680607,0.003959960400395996,0.3831061689383106
d5_a,pearson_r,AG −,-0.008220133842555228,-0.00026615271659313766,0.00023999760002399976,1.0
d5_a,wasserstein_1_cm1,OC +,0.005123125157141164,0.0060618575624084015,0.15031849681503184,0.00023999760002399976
d5_a,is_like_structure_to_noise,Both −,-0.024937063218194545,-0.05424697136563872,0.00023999760002399976,0.00023999760002399976
d5_a,precision,Both −,-0.02622212670232892,-0.04753808737151244,0.00032999670003299966,0.00023999760002399976
d5_a,recall,Both −,-0.031169531959103953,-0.04527005323054323,0.00023999760002399976,0.00023999760002399976
d5_a,f1,Both −,-0.030772913478645924,-0.046121283039647465,0.00023999760002399976,0.00023999760002399976
d5_a,artifact_peak_ratio,Both −,-0.02622212670232892,-0.04753808737151244,0.00032999670003299966,0.00023999760002399976
d5_a,missing_peak_ratio,Both −,-0.031169531959103953,-0.04527005323054323,0.00023999760002399976,0.00023999760002399976
d5_b,rmse,Unresolved,-4.443277866042136e-05,7.915748898668085e-05,1.0,1.0
d5_b,mae,Unresolved,-9.653129978079086e-05,8.489353891327767e-05,1.0,1.0
d5_b,nmse,Unresolved,0.0007980299861468712,0.0002305892070483262,1.0,1.0
d5_b,sam,AG −,-0.004058374358455472,-1.147209985319364e-05,0.0022799772002279977,1.0
d5_b,pearson_r,AG −,-0.003462663024325364,-0.00027074155653461496,0.0022799772002279977,1.0
d5_b,wasserstein_1_cm1,AG −,-0.005843929312280496,-0.0012573421439061594,0.0042999570004299955,0.7769622303776963
d5_b,is_like_structure_to_noise,Both −,-0.02425794319572617,-0.05042446769456699,0.00023999760002399976,0.00023999760002399976
d5_b,precision,Both −,-0.03523192633155855,-0.05154070301027924,0.00023999760002399976,0.00023999760002399976
d5_b,recall,Both −,-0.039892398698685355,-0.048965216593245375,0.00023999760002399976,0.00023999760002399976
d5_b,f1,Both −,-0.03977806144806146,-0.04992657856093996,0.00023999760002399976,0.00023999760002399976
d5_b,artifact_peak_ratio,Both −,-0.03523192633155855,-0.05154070301027924,0.00023999760002399976,0.00023999760002399976
d5_b,missing_peak_ratio,Both −,-0.039892398698685355,-0.048965216593245375,0.00023999760002399976,0.00023999760002399976
