panel_id,endpoint_id,protocol_id,representation,perturbation_scope,metric_output_id,family,state,sst,pooled_sse,separate_sse,pooled_r2,separate_r2,d_p,zero_metric_harm_proportion,mean_downstream,pooled_prediction_at_zero,n,expected_constant_sse,actual_raw_residual_improvement,identity_error
d1_a,d1,a,native,all5,artifact_peak_ratio,p08,complete,88.65191248,22.027998320229777,15.937663008218381,0.21553474252872606,0.5723331101061238,0.06869942386618429,0.0,,,,,,
d1_a,d1,a,native,all5,artifact_peak_ratio,p09,complete,88.65191248,11.947025659288654,2.79642658594433,0.21553474252872606,0.5723331101061238,0.1032194209618288,0.0,,,,,,
d1_a,d1,a,native,all5,artifact_peak_ratio,p10,complete,88.65191248,21.277083894345758,10.178886883242107,0.21553474252872606,0.5723331101061238,0.12518846689976848,0.0,,,,,,
d1_a,d1,a,native,all5,artifact_peak_ratio,p11,complete,88.65191248,9.064345155108704,7.86094432614792,0.21553474252872606,0.5723331101061238,0.013574448596721205,0.5,,,,,,
d1_a,d1,a,native,all5,artifact_peak_ratio,p12,complete,88.65191248,5.227892319971141,1.1395668899129732,0.21553474252872606,0.5723331101061238,0.04611660725289486,0.5,,,,,,
d1_a,d1,a,native,all5,missing_peak_ratio,p08,complete,88.65191248,21.062099701060887,14.562404632693797,0.23292315844314504,0.5874143308848725,0.07331703159628317,0.0,,,,,,
d1_a,d1,a,native,all5,missing_peak_ratio,p09,complete,88.65191248,12.629691897623406,2.7404656682597723,0.23292315844314504,0.5874143308848725,0.11155118883187835,0.0,,,,,,
d1_a,d1,a,native,all5,missing_peak_ratio,p10,complete,88.65191248,19.803449111697173,10.273127111882054,0.23292315844314504,0.5874143308848725,0.10750272310216852,0.0,,,,,,
d1_a,d1,a,native,all5,missing_peak_ratio,p11,complete,88.65191248,8.985884775672266,7.86094432614792,0.23292315844314504,0.5874143308848725,0.012689409828334329,0.5,,,,,,
d1_a,d1,a,native,all5,missing_peak_ratio,p12,complete,88.65191248,5.521703537079398,1.1395668899129732,0.23292315844314504,0.5874143308848725,0.04943081908306311,0.5,,,,,,
d1_a,d1,a,native,no_axis,mse,p08,complete,56.51347731111111,14.968860671347937,13.711709283370336,0.33111608261640735,0.5369172245602764,0.022245160761509737,0.0,,,,,,
d1_a,d1,a,native,no_axis,mse,p09,complete,56.51347731111111,10.126545556291148,2.508989850783476,0.33111608261640735,0.5369172245602764,0.1347918420162404,0.0,,,,,,
d1_a,d1,a,native,no_axis,mse,p10,complete,56.51347731111111,12.705549861185698,9.949718788825374,0.33111608261640735,0.5369172245602764,0.04876413916611892,0.0,,,,,,
d1_a,d1,a,native,no_axis,rmse,p08,complete,56.51347731111111,14.998613001685728,13.711709283370336,0.3318544215229128,0.536932638843612,0.022771625098043164,0.0,,,,,,
d1_a,d1,a,native,no_axis,rmse,p09,complete,56.51347731111111,10.041953802345502,2.50816039317478,0.3318544215229128,0.536932638843612,0.1333096770474165,0.0,,,,,,
d1_a,d1,a,native,no_axis,rmse,p10,complete,56.51347731111111,12.718663185752845,9.949677131682517,0.3318544215229128,0.536932638843612,0.04899691517523942,0.0,,,,,,
d1_a,d1,a,native,no_axis,mae,p08,complete,56.51347731111111,14.591868594394526,13.617995671596145,0.3416278627239784,0.539003709723725,0.017232578300519934,0.0,,,,,,
d1_a,d1,a,native,no_axis,mae,p09,complete,56.51347731111111,9.601061044775905,2.5102003535612534,0.3416278627239784,0.539003709723725,0.12547202948031158,0.0,,,,,,
d1_a,d1,a,native,no_axis,mae,p10,complete,56.51347731111111,13.013969203045747,9.92430736587726,0.3416278627239784,0.539003709723725,0.054671239218915126,0.0,,,,,,
d1_a,d1,a,native,no_axis,sam,p08,complete,56.51347731111111,15.582765720815164,13.9887586602755,0.3057651420676224,0.5193773813765246,0.02820578623687462,0.0,,,,,,
d1_a,d1,a,native,no_axis,sam,p09,complete,56.51347731111111,10.278804157627583,2.764098621692101,0.3057651420676224,0.5193773813765246,0.13297191915065568,0.0,,,,,,
d1_a,d1,a,native,no_axis,sam,p10,complete,56.51347731111111,13.372056013901116,10.408798170816988,0.3057651420676224,0.5193773813765246,0.05243453392137172,0.0,,,,,,
d1_a,d1,a,native,no_axis,pearson_r,p08,complete,56.51347731111111,15.335939798405205,13.913582057322952,0.3206068599484375,0.5237987850292987,0.025168469695327066,0.0,,,,,,
d1_a,d1,a,native,no_axis,pearson_r,p09,complete,56.51347731111111,10.10290971697825,2.7832454515966387,0.3206068599484375,0.5237987850292987,0.1295206845101087,0.0,,,,,,
d1_a,d1,a,native,no_axis,pearson_r,p10,complete,56.51347731111111,12.95601929024506,10.21495904885068,0.3206068599484375,0.5237987850292987,0.048502770875425476,0.0,,,,,,
d1_a,d1,a,native,no_axis,nmse,p08,complete,56.51347731111111,15.783766547851624,14.808939733333332,0.3187424051282268,0.49349200884618893,0.01724945731355004,0.0,,,,,,
d1_a,d1,a,native,no_axis,nmse,p09,complete,56.51347731111111,9.493016322983621,2.8735285326340327,0.3187424051282268,0.49349200884618893,0.1171311358865566,0.0,,,,,,
d1_a,d1,a,native,no_axis,nmse,p10,complete,56.51347731111111,13.223452759972837,10.9420596,0.3187424051282268,0.49349200884618893,0.04036901051785556,0.0,,,,,,
d1_a,d1,a,native,no_axis,wasserstein_1_cm1,p08,complete,56.51347731111111,15.77998449053065,14.51687588066203,0.4514962896102096,0.49740716471207236,0.022350573172397522,0.0,,,,,,
d1_a,d1,a,native,no_axis,wasserstein_1_cm1,p09,complete,56.51347731111111,3.805399522399407,3.145197606031746,0.4514962896102096,0.49740716471207236,0.011682203038634442,0.0,,,,,,
d1_a,d1,a,native,no_axis,wasserstein_1_cm1,p10,complete,56.51347731111111,11.41246797924362,10.741195307077524,0.4514962896102096,0.49740716471207236,0.011878098890830777,0.0,,,,,,
d1_a,d1,a,native,no_axis,is_like_structure_to_noise,p08,complete,56.51347731111111,22.8016861643842,21.717201600000003,2.3434284295520413e-05,0.21359986054851388,0.01918983959196187,0.0,,,,,,
d1_a,d1,a,native,no_axis,is_like_structure_to_noise,p09,complete,56.51347731111111,13.403612506886201,4.8211676550128475,2.3434284295520413e-05,0.21359986054851388,0.15186545334356835,0.0,,,,,,
d1_a,d1,a,native,no_axis,is_like_structure_to_noise,p10,complete,56.51347731111111,20.306854286946873,17.903837183333334,2.3434284295520413e-05,0.21359986054851388,0.042521133328687975,0.0,,,,,,
