panel_id,endpoint_id,protocol_id,representation,metric_output_id,group,state,oc,bootstrap_lower,bootstrap_upper,pair_count_per_cluster
d2_5_a,d2_5,a,native,rmse,axis_axis,complete,0.5,0.5,0.5,64
d2_5_a,d2_5,a,native,mae,nonaxis_nonaxis,complete,0.7644097222222221,0.7407964409722222,0.7822938368055556,192
d2_5_a,d2_5,a,native,mae,mixed,complete,0.8756944444444446,0.8041655815972221,0.9314702690972223,384
d2_5_a,d2_5,a,native,mae,axis_axis,complete,0.5,0.5,0.5,64
d2_5_a,d2_5,a,native,sam,nonaxis_nonaxis,complete,0.7215277777777777,0.6942686631944444,0.7465277777777779,192
d2_5_a,d2_5,a,native,sam,mixed,complete,0.8756944444444446,0.8041655815972221,0.9314702690972223,384
d2_5_a,d2_5,a,native,sam,axis_axis,complete,0.5,0.5,0.5,64
d2_5_a,d2_5,a,native,pearson_r,nonaxis_nonaxis,complete,0.7255208333333333,0.6993012152777778,0.7477452256944442,192
d2_5_a,d2_5,a,native,pearson_r,mixed,complete,0.8756944444444446,0.8041655815972221,0.9314702690972223,384
d2_5_a,d2_5,a,native,pearson_r,axis_axis,complete,0.5,0.5,0.5,64
d2_5_a,d2_5,a,native,nmse,nonaxis_nonaxis,complete,0.7212673611111112,0.6963498263888888,0.7454882812500001,192
d2_5_a,d2_5,a,native,nmse,mixed,complete,0.8756944444444446,0.8041655815972221,0.9314702690972223,384
d2_5_a,d2_5,a,native,nmse,axis_axis,complete,0.5,0.5,0.5,64
d2_5_a,d2_5,a,native,wasserstein_1_cm1,nonaxis_nonaxis,complete,0.8144097222222222,0.7737847222222223,0.8452343749999998,192
d2_5_a,d2_5,a,native,wasserstein_1_cm1,mixed,complete,0.8795138888888888,0.8159711371527777,0.9256119791666666,384
d2_5_a,d2_5,a,native,wasserstein_1_cm1,axis_axis,complete,0.6,0.47603515625,0.7234505208333332,64
d2_5_a,d2_5,a,native,is_like_structure_to_noise,nonaxis_nonaxis,complete,0.1824652777777778,0.1578103298611111,0.2159809027777777,192
d2_5_a,d2_5,a,native,is_like_structure_to_noise,mixed,complete,0.32031250000000006,0.2972634548611111,0.3482237413194444,384
d2_5_a,d2_5,a,native,is_like_structure_to_noise,axis_axis,complete,0.5,0.5,0.5,64
d2_5_a,d2_5,a,native,precision,nonaxis_nonaxis,complete,0.3263888888888889,0.2896657986111111,0.3671180555555555,192
d2_5_a,d2_5,a,native,precision,mixed,complete,0.7681423611111111,0.7280685763888889,0.7963541666666666,384
d2_5_a,d2_5,a,native,precision,axis_axis,complete,0.5901041666666667,0.5083333333333333,0.6690234374999999,64
d2_5_a,d2_5,a,native,recall,nonaxis_nonaxis,complete,0.34288194444444453,0.3072829861111111,0.37960720486111105,192
d2_5_a,d2_5,a,native,recall,mixed,complete,0.7709201388888889,0.7299902343750001,0.7999576822916666,384
d2_5_a,d2_5,a,native,recall,axis_axis,complete,0.5901041666666667,0.5083333333333333,0.6690234374999999,64
d2_5_a,d2_5,a,native,f1,nonaxis_nonaxis,complete,0.33559027777777783,0.3000846354166667,0.3729188368055555,192
d2_5_a,d2_5,a,native,f1,mixed,complete,0.7705729166666667,0.7293370225694445,0.7995659722222221,384
d2_5_a,d2_5,a,native,f1,axis_axis,complete,0.5901041666666667,0.5083333333333333,0.6690234374999999,64
d2_5_a,d2_5,a,native,artifact_peak_ratio,nonaxis_nonaxis,complete,0.3263888888888889,0.2896657986111111,0.3671180555555555,192
d2_5_a,d2_5,a,native,artifact_peak_ratio,mixed,complete,0.7681423611111111,0.7280685763888889,0.7963541666666666,384
d2_5_a,d2_5,a,native,artifact_peak_ratio,axis_axis,complete,0.5901041666666667,0.5083333333333333,0.6690234374999999,64
d2_5_a,d2_5,a,native,missing_peak_ratio,nonaxis_nonaxis,complete,0.34288194444444453,0.3072829861111111,0.37960720486111105,192
d2_5_a,d2_5,a,native,missing_peak_ratio,mixed,complete,0.7709201388888889,0.7299902343750001,0.7999576822916666,384
d2_5_a,d2_5,a,native,missing_peak_ratio,axis_axis,complete,0.5901041666666667,0.5083333333333333,0.6690234374999999,64
d2_5_a,d2_5,a,common_grid,mse,nonaxis_nonaxis,complete,0.703298611111111,0.6806401909722222,0.7230902777777776,192
d2_5_a,d2_5,a,common_grid,mse,mixed,complete,0.8008680555555555,0.7620225694444446,0.8291710069444446,384
d2_5_a,d2_5,a,common_grid,mse,axis_axis,complete,0.5828125,0.45703125,0.7122526041666666,64
d2_5_a,d2_5,a,common_grid,rmse,nonaxis_nonaxis,complete,0.7072916666666667,0.6855902777777778,0.7268272569444445,192
d2_5_a,d2_5,a,common_grid,rmse,mixed,complete,0.8011284722222223,0.7621961805555556,0.8294335937500001,384
d2_5_a,d2_5,a,common_grid,rmse,axis_axis,complete,0.5828125,0.45703125,0.7122526041666666,64
d2_5_a,d2_5,a,common_grid,mae,nonaxis_nonaxis,complete,0.7602430555555556,0.7373220486111111,0.7784722222222221,192
d2_5_a,d2_5,a,common_grid,mae,mixed,complete,0.8091145833333333,0.7690473090277778,0.8377202690972223,384
d2_5_a,d2_5,a,common_grid,mae,axis_axis,complete,0.5651041666666666,0.444765625,0.69193359375,64
d2_5_a,d2_5,a,common_grid,sam,nonaxis_nonaxis,complete,0.7107638888888891,0.6877560763888888,0.7312521701388889,192
d2_5_a,d2_5,a,common_grid,sam,mixed,complete,0.7955729166666666,0.757021484375,0.8250868055555555,384
d2_5_a,d2_5,a,common_grid,sam,axis_axis,complete,0.5822916666666667,0.4567643229166667,0.7117317708333332,64
d2_5_a,d2_5,a,common_grid,pearson_r,nonaxis_nonaxis,complete,0.7180555555555556,0.6924479166666668,0.740017361111111,192
d2_5_a,d2_5,a,common_grid,pearson_r,mixed,complete,0.749826388888889,0.7158843315972221,0.7823383246527778,384
d2_5_a,d2_5,a,common_grid,pearson_r,axis_axis,complete,0.58125,0.45597005208333335,0.7111979166666667,64
d2_5_a,d2_5,a,common_grid,nmse,nonaxis_nonaxis,complete,0.7046875,0.6834136284722223,0.7232638888888887,192
d2_5_a,d2_5,a,common_grid,nmse,mixed,complete,0.7993055555555556,0.760283203125,0.8280414496527777,384
d2_5_a,d2_5,a,common_grid,nmse,axis_axis,complete,0.5828125,0.45650390625,0.7127669270833333,64
