panel_id,endpoint_id,protocol_id,metric_output_id,ag,ag_lower,ag_upper,acc_cross,acc_cross_lower,acc_cross_upper,d_ag,d_ag_lower,d_ag_upper,d_ag_raw_p_value,d_ag_adjusted_p_value,d_ag_rank,d_ag_family_size,d_ag_family_id,d_ag_favorable,d_ag_rejected,d_ag_direction,d_ag_state,d_ag_glyph,d_acc,d_acc_lower,d_acc_upper,d_acc_raw_p_value,d_acc_adjusted_p_value,d_acc_rank,d_acc_family_size,d_acc_family_id,d_acc_favorable,d_acc_rejected,d_acc_direction,d_acc_state,d_acc_glyph,panel_state
d2_5_a,d2_5,a,wasserstein_1_cm1,0.053120470286407775,0.04313738243578874,0.07107107054157907,0.83203125,0.7910110677083333,0.8599739583333332,0.07488729587013838,0.04933924934129257,0.09500766705445696,4.999950000499995e-05,0.0006499935000649994,12,24,d2_5:a:within_protocol,True,True,favorable,complete,favorable_rejected,0.03794270833333324,0.01645833333333357,0.059975911458333184,0.0025499745002549976,0.022949770502294978,16,24,d2_5:a:within_protocol,True,True,favorable,complete,favorable_rejected,complete
d2_5_b,d2_5,b,wasserstein_1_cm1,0.20989283465050015,0.17917002349284328,0.2554323154946662,0.7366406249999998,0.7012408854166666,0.7654186197916666,-0.06956536267508787,-0.09902485743952698,-0.050018436014601264,0.0002899971000289997,0.0031899681003189967,14,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,-0.06539062500000026,-0.08169335937500008,-0.04809895833333355,9.99990000099999e-06,0.00023999760002399976,12,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,complete
d2_5_a,d2_5,a,is_like_structure_to_noise,0.3916731068568527,0.32454288253919583,0.4648846781098003,0.29692708333333334,0.2770253906250001,0.3206516927083334,-0.26366534070030656,-0.3330516475713988,-0.20004879346498963,0.00011999880001199988,0.0014399856001439987,13,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,-0.4971614583333334,-0.5401067708333335,-0.4358697916666666,9.99990000099999e-06,0.00023999760002399976,5,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,complete
d2_5_b,d2_5,b,is_like_structure_to_noise,0.4253839446839741,0.35031463072761837,0.5015995613826008,0.37328125,0.35905859375,0.38742447916666656,-0.2850564727085618,-0.3511037746532512,-0.21559570431052558,7.999920000799993e-05,0.0009599904000959991,13,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,-0.4287500000000001,-0.46924869791666673,-0.3792389322916669,9.99990000099999e-06,0.00023999760002399976,5,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,complete
d2_5_a,d2_5,a,precision,0.4262028812432644,0.37544577766369597,0.5034567545955448,0.6178124999999999,0.6008795572916668,0.6334654947916666,-0.29819511508671825,-0.36176900403007917,-0.2606113758307965,9.99990000099999e-06,0.00023999760002399976,9,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,-0.17627604166666688,-0.20617382812499999,-0.1424654947916668,9.99990000099999e-06,0.00023999760002399976,8,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,complete
d2_5_b,d2_5,b,precision,0.3840817258570806,0.34301558712736213,0.4402457358526505,0.6676041666666668,0.6288736979166667,0.7007096354166668,-0.24375425388166833,-0.28854723795870035,-0.21149354884515212,9.99990000099999e-06,0.00023999760002399976,9,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,-0.1344270833333333,-0.14916731770833344,-0.11721158854166677,9.99990000099999e-06,0.00023999760002399976,8,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,complete
d2_5_a,d2_5,a,recall,0.4277132876207225,0.3840978272090088,0.49301451172079436,0.6244270833333333,0.6063802083333335,0.6409680989583333,-0.2997055214641764,-0.3477743894023467,-0.27174975603661744,9.99990000099999e-06,0.00023999760002399976,11,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,-0.16966145833333346,-0.19867382812500006,-0.13788346354166675,9.99990000099999e-06,0.00023999760002399976,10,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,complete
d2_5_b,d2_5,b,recall,0.3885156130364344,0.35408418498179645,0.44186113493303564,0.67234375,0.6335358072916667,0.7063320312499999,-0.2481881410610221,-0.2912634453171157,-0.22167877519423543,9.99990000099999e-06,0.00023999760002399976,11,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,-0.12968750000000007,-0.14307486979166678,-0.1138007812500002,9.99990000099999e-06,0.00023999760002399976,10,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,complete
d2_5_a,d2_5,a,f1,0.4360858530439565,0.391383902080083,0.5034309068635757,0.6220312499999999,0.604607421875,0.63836328125,-0.30807808688741034,-0.355455909891356,-0.28028012458853785,9.99990000099999e-06,0.00023999760002399976,4,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,-0.17205729166666683,-0.20130403645833342,-0.1398430989583335,9.99990000099999e-06,0.00023999760002399976,3,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,complete
d2_5_b,d2_5,b,f1,0.3826736126325487,0.34503115808754514,0.4353767295545234,0.6719270833333332,0.6329069010416666,0.7059121093749998,-0.2423461406571364,-0.2827849608492667,-0.21243483848751304,9.99990000099999e-06,0.00023999760002399976,4,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,-0.1301041666666669,-0.14393359374999998,-0.11390494791666687,9.99990000099999e-06,0.00023999760002399976,3,24,d2_5:b:within_protocol,False,False,adverse,tested,not_rejected,complete
d2_5_a,d2_5,a,artifact_peak_ratio,0.4262028812432644,0.37544577766369597,0.5034567545955448,0.6178124999999999,0.6008795572916668,0.6334654947916666,-0.29819511508671825,-0.36176900403007917,-0.2606113758307965,9.99990000099999e-06,0.00023999760002399976,2,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,-0.17627604166666688,-0.20617382812499999,-0.1424654947916668,9.99990000099999e-06,0.00023999760002399976,1,24,d2_5:a:within_protocol,False,False,adverse,complete,not_rejected,complete
