cell_id,metric_output_id,delta_ag,delta_ag_lower,delta_ag_upper,delta_acc,delta_acc_lower,delta_acc_upper,i_ag,i_ag_lower,i_ag_upper,i_acc,i_acc_lower,i_acc_upper,i_ag_raw_p_value,i_ag_adjusted_p_value,i_ag_rank,i_ag_family_size,i_ag_family_id,i_ag_favorable,i_ag_rejected,i_ag_direction,i_ag_state,i_ag_glyph,i_acc_raw_p_value,i_acc_adjusted_p_value,i_acc_rank,i_acc_family_size,i_acc_family_id,i_acc_favorable,i_acc_rejected,i_acc_direction,i_acc_state,i_acc_glyph,state
d2_10,rmse,0.12695402763377775,0.09635995498227101,0.16332225753152516,0.005156249999999751,-0.05282031249999992,0.06338671875000029,-0.0003697696373348436,-0.00454121739404236,0.0003850755380042269,-0.0012500000000003064,-0.003333333333333191,3.3306690738754696e-16,0.6704132958670413,1.0,28,29,d2_10shot:protocol_ab,False,False,adverse,tested,not_rejected,0.13845861541384585,0.8812211877881222,24,29,d2_10shot:protocol_ab,False,False,adverse,tested,not_rejected,complete
d2_10,mae,0.13815300991208007,0.10968365938247754,0.17565191340668485,-0.0068750000000001865,-0.06290104166666663,0.05037369791666666,-0.011568751915637165,-0.02214998588678842,-0.006489960023508858,-0.013281250000000244,-0.016875651041666634,-0.009686848958333289,0.0018599814001859982,0.03161968380316197,13,29,d2_10shot:protocol_ab,False,True,adverse,tested,adverse_rejected,9.99990000099999e-06,0.00028999710002899974,3,29,d2_10shot:protocol_ab,False,True,adverse,tested,adverse_rejected,complete
d2_10,sam,0.10704427224497964,0.07135267535295478,0.14580094962239984,0.006406250000000058,-0.051388020833333437,0.0650045572916667,0.019539985751463262,0.005501490436118154,0.03783014721671443,0.0,-0.004272135416666875,0.004687499999999961,0.019259807401925982,0.19259807401925982,20,29,d2_10shot:protocol_ab,True,False,favorable,tested,not_rejected,1.0,1.0,29,29,d2_10shot:protocol_ab,False,False,adverse,tested,not_rejected,complete
d2_10,pearson_r,0.12128289437137466,0.09232440983994859,0.15571279818219563,0.0028645833333332815,-0.05435807291666663,0.05996289062499969,0.0053013636250682505,-0.00315598681223763,0.013819595076120628,-0.003541666666666776,-0.0086204427083337,0.002031249999999826,0.12588874111258888,0.8812211877881222,23,29,d2_10shot:protocol_ab,True,False,favorable,tested,not_rejected,0.2206777932220678,1.0,26,29,d2_10shot:protocol_ab,False,False,adverse,tested,not_rejected,complete
d2_10,nmse,0.13661115427638404,0.09912089297805292,0.17459823005197217,0.00723958333333341,-0.050523437500000115,0.0656132812500001,-0.010026896279941133,-0.020496393217713883,0.0052061117997289595,0.0008333333333333526,-0.0012499999999995293,0.003750651041667018,0.2084979150208498,1.0,25,29,d2_10shot:protocol_ab,False,False,adverse,tested,not_rejected,0.5056049439505605,1.0,27,29,d2_10shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_10,wasserstein_1_cm1,0.3017288165692283,0.2519863578360719,0.358771442542281,-0.10773437499999983,-0.14992317708333341,-0.0570885416666669,-0.17514455857278538,-0.2196834832236837,-0.13479146640690315,-0.11414062499999988,-0.13961263020833325,-0.08473567708333377,3.999960000399996e-05,0.0009599904000959991,7,29,d2_10shot:protocol_ab,False,True,adverse,tested,adverse_rejected,9.99990000099999e-06,0.00028999710002899974,4,29,d2_10shot:protocol_ab,False,True,adverse,tested,adverse_rejected,complete
d2_10,is_like_structure_to_noise,0.04540988504914589,-0.0017392414314145227,0.09224778260937005,0.09484374999999995,0.06199739583333335,0.12015624999999996,0.08117437294729701,0.02650441133417286,0.14203938996034754,0.08843749999999989,0.004945963541666909,0.16404166666666697,0.033269667303326964,0.2994270057299427,21,29,d2_10shot:protocol_ab,True,False,favorable,tested,not_rejected,0.03585964140358596,0.2994270057299427,22,29,d2_10shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_10,precision,-0.025320122703817893,-0.07012442490707112,0.009849764569632742,0.06999999999999995,0.04168684895833328,0.09544335937500001,0.1519043807002608,0.10522264111813409,0.2148569267005919,0.0635937499999999,0.020075520833333613,0.10500195312500009,0.00037999620003799963,0.007599924000759993,11,29,d2_10shot:protocol_ab,True,True,favorable,tested,favorable_rejected,0.006669933300666993,0.1067189328106719,15,29,d2_10shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_10,recall,-0.014557197143216905,-0.053033184479556246,0.013819929130195141,0.061718750000000044,0.03340820312499993,0.08783854166666649,0.1411414551396598,0.10546945382034567,0.19347588279188652,0.05531249999999999,0.013475260416667073,0.09596484374999997,0.0001999980000199998,0.004399956000439995,9,29,d2_10shot:protocol_ab,True,True,favorable,tested,favorable_rejected,0.013199868001319988,0.15839841601583984,19,29,d2_10shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_10,f1,-0.035036981987296545,-0.07255985068472567,-0.003814841116708939,0.06619791666666652,0.03781250000000024,0.09218945312499986,0.16162123998373945,0.12592753414552474,0.21210223601434264,0.059791666666666465,0.017811197916666684,0.09984830729166666,3.999960000399996e-05,0.0009599904000959991,6,29,d2_10shot:protocol_ab,True,True,favorable,tested,favorable_rejected,0.007759922400775992,0.10863891361086389,16,29,d2_10shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_10,artifact_peak_ratio,-0.025320122703817893,-0.07012442490707112,0.009849764569632742,0.06999999999999995,0.04168684895833328,0.09544335937500001,0.1519043807002608,0.10522264111813409,0.2148569267005919,0.0635937499999999,0.020075520833333613,0.10500195312500009,0.00037999620003799963,0.007599924000759993,10,29,d2_10shot:protocol_ab,True,True,favorable,tested,favorable_rejected,0.006669933300666993,0.1067189328106719,14,29,d2_10shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_10,missing_peak_ratio,-0.014557197143216905,-0.053033184479556246,0.013819929130195141,0.061718750000000044,0.03340820312499993,0.08783854166666649,0.1411414551396598,0.10546945382034567,0.19347588279188652,0.05531249999999999,0.013475260416667073,0.09596484374999997,0.0001999980000199998,0.004399956000439995,8,29,d2_10shot:protocol_ab,True,True,favorable,tested,favorable_rejected,0.013199868001319988,0.15839841601583984,18,29,d2_10shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_20,mse,0.20134693473211032,0.16123943933312335,0.2398123862506201,0.01416666666666655,-0.03914518229166669,0.07008333333333329,,,,,,,,,,29,d2_20shot:protocol_ab,,,reference,reference_no_interaction,not_rejected,,,,29,d2_20shot:protocol_ab,,,reference,reference_no_interaction,not_rejected,complete
d2_20,rmse,0.20135984392294054,0.1615253532013134,0.24141877251084268,0.01294270833333322,-0.040158203125000215,0.06906901041666644,-1.2909190830218131e-05,-0.0050486146853099545,0.0006428326830148775,-0.0012239583333333304,-0.003359375000000059,5.2083333333399764e-05,0.956430435695643,1.0,28,29,d2_20shot:protocol_ab,False,False,adverse,tested,not_rejected,0.18621813781862182,1.0,25,29,d2_20shot:protocol_ab,False,False,adverse,tested,not_rejected,complete
d2_20,mae,0.21220721503524134,0.17339751007563584,0.25568599574024314,-0.0006770833333333837,-0.05284244791666646,0.056072916666666604,-0.01086028030313102,-0.022739114137060416,-0.00570899494980215,-0.014843749999999933,-0.01864648437500013,-0.010885416666666753,0.008189918100818991,0.10919890801091989,17,29,d2_20shot:protocol_ab,False,False,adverse,tested,not_rejected,9.99990000099999e-06,0.00028999710002899974,2,29,d2_20shot:protocol_ab,False,True,adverse,tested,adverse_rejected,complete
d2_20,sam,0.17860863745136024,0.1323031451558848,0.2232144398917124,0.013802083333333326,-0.0390930989583332,0.06994986979166676,0.02273829728075008,0.008039030410083754,0.04224005734254699,-0.0003645833333332238,-0.004609374999999916,0.003854817708333701,0.00881991180088199,0.10919890801091989,18,29,d2_20shot:protocol_ab,True,False,favorable,tested,not_rejected,0.8854911450885491,1.0,27,29,d2_20shot:protocol_ab,False,False,adverse,tested,not_rejected,complete
d2_20,pearson_r,0.19410839690620407,0.1536741431351179,0.2346520437077843,0.010260416666666883,-0.042220052083333126,0.06515950520833345,0.007238537825906249,-0.0020048374910039,0.01764876603359213,-0.003906249999999667,-0.008776692708333571,0.0015631510416667985,0.09552904470955291,0.6687033129668704,23,29,d2_20shot:protocol_ab,True,False,favorable,tested,not_rejected,0.17019829801701983,1.0,24,29,d2_20shot:protocol_ab,False,False,adverse,tested,not_rejected,complete
d2_20,nmse,0.2108481470706355,0.162690540400434,0.25327194416358373,0.01440104166666667,-0.03891601562499991,0.07103059895833339,-0.009501212338525189,-0.021293056247802436,0.010495255868643964,0.0002343750000001199,-0.0011197916666665392,0.0023177083333330182,0.32534674653253465,1.0,26,29,d2_20shot:protocol_ab,False,False,adverse,tested,not_rejected,0.962210377896221,1.0,29,29,d2_20shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_20,wasserstein_1_cm1,0.37405417096729726,0.31508613302288907,0.4405870587827144,-0.1006510416666665,-0.14450651041666668,-0.044364583333333436,-0.17270723623518694,-0.22339417548074983,-0.12651484658185377,-0.11481770833333305,-0.14057356770833337,-0.08666471354166647,0.00010999890001099989,0.0021999780002199976,10,29,d2_20shot:protocol_ab,False,True,adverse,tested,adverse_rejected,9.99990000099999e-06,0.00028999710002899974,3,29,d2_20shot:protocol_ab,False,True,adverse,tested,adverse_rejected,complete
d2_20,is_like_structure_to_noise,0.06630633894135413,0.013670477173409832,0.11731165087207888,0.08911458333333327,0.047074218749999994,0.11909114583333337,0.1350405957907562,0.08183115662778753,0.1966095260180278,0.07494791666666673,-0.014947916666666514,0.1426373697916667,0.0011699883001169988,0.02105978940210598,12,29,d2_20shot:protocol_ab,True,True,favorable,tested,favorable_rejected,0.07155928440715593,0.5724742752572475,22,29,d2_20shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_20,precision,-0.020311328163919506,-0.06821109132391256,0.019266880245677614,0.07747395833333326,0.049425130208333445,0.10112304687500005,0.22165826289602986,0.1766987314429344,0.2807767557347769,0.06330729166666671,0.01839713541666671,0.104219401041667,4.999950000499995e-05,0.0010999890001099988,9,29,d2_20shot:protocol_ab,True,True,favorable,tested,favorable_rejected,0.006359936400635994,0.1017589824101759,15,29,d2_20shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_20,recall,-0.0042096221534876355,-0.05125264261674281,0.031001959545947047,0.06981770833333323,0.04216015624999996,0.09286718750000023,0.20555655688559799,0.16192755721253416,0.2590359553712734,0.05565104166666668,0.011855468750000224,0.09463867187499996,2.999970000299997e-05,0.0007499925000749993,7,29,d2_20shot:protocol_ab,True,True,favorable,tested,favorable_rejected,0.012669873301266987,0.13936860631393685,20,29,d2_20shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_20,f1,-0.025599768765053654,-0.06969611254084178,0.008808410412590405,0.07408854166666667,0.046481770833333144,0.0975826822916666,0.22694670349716395,0.18707639580337784,0.27918037006521457,0.059921875000000124,0.0154420572916665,0.09917187500000015,2.999970000299997e-05,0.0007499925000749993,5,29,d2_20shot:protocol_ab,True,True,favorable,tested,favorable_rejected,0.007799922000779992,0.10919890801091989,16,29,d2_20shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_20,artifact_peak_ratio,-0.020311328163919506,-0.06821109132391256,0.019266880245677614,0.07747395833333326,0.049425130208333445,0.10112304687500005,0.22165826289602986,0.1766987314429344,0.2807767557347769,0.06330729166666671,0.01839713541666671,0.104219401041667,4.999950000499995e-05,0.0010999890001099988,8,29,d2_20shot:protocol_ab,True,True,favorable,tested,favorable_rejected,0.006359936400635994,0.1017589824101759,14,29,d2_20shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_20,missing_peak_ratio,-0.0042096221534876355,-0.05125264261674281,0.031001959545947047,0.06981770833333323,0.04216015624999996,0.09286718750000023,0.20555655688559799,0.16192755721253416,0.2590359553712734,0.05565104166666668,0.011855468750000224,0.09463867187499996,2.999970000299997e-05,0.0007499925000749993,6,29,d2_20shot:protocol_ab,True,True,favorable,tested,favorable_rejected,0.012669873301266987,0.13936860631393685,19,29,d2_20shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d4,mse,0.03341023269455809,-0.05504545439650063,0.13421082827502254,-0.2580338541666667,-0.2663557942708332,-0.25043554687500036,,,,,,,,,,29,d4_full_domain_core:protocol_ab,,,reference,reference_no_interaction,not_rejected,,,,29,d4_full_domain_core:protocol_ab,,,reference,reference_no_interaction,not_rejected,complete
d4,rmse,0.03374292654498717,-0.054844882068478,0.1348367053767738,-0.2582812499999998,-0.2666930338541668,-0.25062483723958345,-0.0003326938504290833,-0.0014988965858165704,0.0006902170529938681,-0.00024739583333310833,-0.0008790690104169826,0.00022151692708421067,0.6114338856611434,1.0,27,29,d4_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,0.44917550824491753,1.0,25,29,d4_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,complete
d4,mae,0.04494857851059075,-0.044356683967110226,0.14849113984038606,-0.26465494791666677,-0.27269580078124994,-0.25731087239583367,-0.011538345816032664,-0.020456620205465664,-0.004324078446343075,-0.006621093750000084,-0.009154459635417327,-0.0040169270833338875,0.0035699643003569963,0.02855971440285597,22,29,d4_full_domain_core:protocol_ab,False,True,adverse,tested,adverse_rejected,9.99990000099999e-06,0.00028999710002899974,7,29,d4_full_domain_core:protocol_ab,False,True,adverse,tested,adverse_rejected,complete
