cell_id,protocol_id,perturbation_id,alpha,metric_output_id,protocol_a_mse_x,metric_x,x_render_value,downstream_harm
d5,b,p08,0.8,mse,32964649466.30726,32964649466.30726,32964649466.30726,0.1632060813228214
d5,b,p09,0.05,mse,126123579.48427865,126123579.48427865,126123579.48427865,0.02067518058707486
d5,b,p09,0.1,mse,504494317.9371146,504494317.9371146,504494317.9371146,0.025512837627375072
d5,b,p09,0.2,mse,2017977271.7484584,2017977271.7484584,2017977271.7484584,0.03848458606167858
d5,b,p09,0.3,mse,4540448861.43403,4540448861.43403,4540448861.43403,0.051992733160134044
d5,b,p09,0.4,mse,8071909086.993834,8071909086.993834,8071909086.993834,0.06650561463336793
d5,b,p09,0.5,mse,12612357948.427862,12612357948.427862,12612357948.427862,0.07888732453710429
d5,b,p09,0.65,mse,21314884932.843086,21314884932.843086,21314884932.843086,0.1014640890191551
d5,b,p09,0.8,mse,32287636347.975334,32287636347.975334,32287636347.975334,0.11917764687588478
d5,b,p10,0.05,mse,128768161.97776273,128768161.97776273,128768161.97776273,0.02589975695702568
d5,b,p10,0.1,mse,515072647.9110509,515072647.9110509,515072647.9110509,0.045045271256725
d5,b,p10,0.2,mse,2060290591.6442037,2060290591.6442037,2060290591.6442037,0.07811120801208907
d5,b,p10,0.3,mse,4635653831.199457,4635653831.199457,4635653831.199457,0.10807061473361033
d5,b,p10,0.4,mse,8241162366.576815,8241162366.576815,8241162366.576815,0.1334348083797423
d5,b,p10,0.5,mse,12876816197.776272,12876816197.776272,12876816197.776272,0.15770001127930644
d5,b,p10,0.65,mse,21761819374.2419,21761819374.2419,21761819374.2419,0.18339926307987983
d5,b,p10,0.8,mse,32964649466.30725,32964649466.30725,32964649466.30725,0.20525496081663486
d5,b,p11,0.05,mse,0.0,0.0,0.0,-0.0001468428781204112
d5,b,p11,0.1,mse,0.0,0.0,0.0,-0.0001468428781204112
d5,b,p11,0.2,mse,0.0,0.0,0.0,-0.0006363191385217818
d5,b,p11,0.3,mse,0.0,0.0,0.0,-0.0006363191385217818
d5,b,p11,0.4,mse,0.0,0.0,0.0,-0.0004894762604013707
d5,b,p11,0.5,mse,0.0,0.0,0.0,0.00014684287812041113
d5,b,p11,0.65,mse,0.0,0.0,0.0,-0.00012236906510034278
d5,b,p11,0.8,mse,0.0,0.0,0.0,-0.0004789874833927698
d5,b,p12,0.05,mse,0.0,0.0,0.0,0.0
d5,b,p12,0.1,mse,0.0,0.0,0.0,0.0
d5,b,p12,0.2,mse,0.0,0.0,0.0,0.00020977554017201594
d5,b,p12,0.3,mse,0.0,0.0,0.0,0.00020977554017201594
d5,b,p12,0.4,mse,0.0,0.0,0.0,0.00020977554017201594
d5,b,p12,0.5,mse,0.0,0.0,0.0,0.00020977554017201594
d5,b,p12,0.65,mse,0.0,0.0,0.0,0.00035661841829242707
d5,b,p12,0.8,mse,0.0,0.0,0.0,0.00035661841829242707
d2_5,a,p08,0.05,mse,0.0005233733959361159,0.0005233733959361159,0.0005233733959361159,0.01473333333333334
d2_5,a,p08,0.1,mse,0.0020934935837444634,0.0020934935837444634,0.0020934935837444634,0.0484666666666667
d2_5,a,p08,0.2,mse,0.008373974334977854,0.008373974334977854,0.008373974334977854,0.14753333333333332
d2_5,a,p08,0.3,mse,0.018841442253700165,0.018841442253700165,0.018841442253700165,0.2366666666666667
d2_5,a,p08,0.4,mse,0.033495897339911415,0.033495897339911415,0.033495897339911415,0.29706666666666665
d2_5,a,p08,0.5,mse,0.05233733959361157,0.05233733959361157,0.05233733959361157,0.33866666666666667
d2_5,a,p08,0.65,mse,0.08845010391320358,0.08845010391320358,0.08845010391320358,0.3798666666666666
d2_5,a,p08,0.8,mse,0.13398358935964566,0.13398358935964566,0.13398358935964566,0.4048
d2_5,a,p09,0.05,mse,0.0005238020531641963,0.0005238020531641963,0.0005238020531641963,0.0017333333333333486
d2_5,a,p09,0.1,mse,0.0020952082126567853,0.0020952082126567853,0.0020952082126567853,0.006666666666666685
d2_5,a,p09,0.2,mse,0.008380832850627141,0.008380832850627141,0.008380832850627141,0.030533333333333343
d2_5,a,p09,0.3,mse,0.018856873913911068,0.018856873913911068,0.018856873913911068,0.0632
d2_5,a,p09,0.4,mse,0.033523331402508565,0.033523331402508565,0.033523331402508565,0.09900000000000002
d2_5,a,p09,0.5,mse,0.05238020531641962,0.05238020531641962,0.05238020531641962,0.132
d2_5,a,p09,0.65,mse,0.08852254698474918,0.08852254698474918,0.08852254698474918,0.17993333333333333
d2_5,a,p09,0.8,mse,0.13409332561003426,0.13409332561003426,0.13409332561003426,0.21766666666666667
d2_5,a,p10,0.05,mse,0.0005233733959361159,0.0005233733959361159,0.0005233733959361159,0.024600000000000018
d2_5,a,p10,0.1,mse,0.0020934935837444634,0.0020934935837444634,0.0020934935837444634,0.07959999999999999
d2_5,a,p10,0.2,mse,0.008373974334977854,0.008373974334977854,0.008373974334977854,0.19313333333333338
d2_5,a,p10,0.3,mse,0.018841442253700165,0.018841442253700165,0.018841442253700165,0.2672
d2_5,a,p10,0.4,mse,0.033495897339911415,0.033495897339911415,0.033495897339911415,0.31753333333333333
d2_5,a,p10,0.5,mse,0.05233733959361157,0.05233733959361157,0.05233733959361157,0.35006666666666675
d2_5,a,p10,0.65,mse,0.08845010391320358,0.08845010391320358,0.08845010391320358,0.38406666666666667
d2_5,a,p10,0.8,mse,0.13398358935964566,0.13398358935964566,0.13398358935964566,0.40873333333333334
d2_5,a,p11,0.05,mse,0.0,0.0,0.0,-0.005333333333333318
d2_5,a,p11,0.1,mse,0.0,0.0,0.0,-0.008333333333333333
d2_5,a,p11,0.2,mse,0.0,0.0,0.0,-0.007466666666666655
d2_5,a,p11,0.3,mse,0.0,0.0,0.0,0.003533333333333327
d2_5,a,p11,0.4,mse,0.0,0.0,0.0,0.015066666666666683
d2_5,a,p11,0.5,mse,0.0,0.0,0.0,0.01473333333333335
d2_5,a,p11,0.65,mse,0.0,0.0,0.0,0.030200000000000005
d2_5,a,p11,0.8,mse,0.0,0.0,0.0,0.04113333333333334
d2_5,a,p12,0.05,mse,0.0,0.0,0.0,-0.0013333333333333012
d2_5,a,p12,0.1,mse,0.0,0.0,0.0,-0.001733333333333309
d2_5,a,p12,0.2,mse,0.0,0.0,0.0,-0.002466666666666654
d2_5,a,p12,0.3,mse,0.0,0.0,0.0,-0.0034666666666666695
d2_5,a,p12,0.4,mse,0.0,0.0,0.0,-0.0034666666666666613
d2_5,a,p12,0.5,mse,0.0,0.0,0.0,-0.0001999999999999937
d2_5,a,p12,0.65,mse,0.0,0.0,0.0,0.001933333333333349
d2_5,a,p12,0.8,mse,0.0,0.0,0.0,0.006066666666666685
d2_5,b,p08,0.05,mse,0.0005233733959361159,0.0005233733959361159,0.0005233733959361159,0.050733333333333325
d2_5,b,p08,0.1,mse,0.0020934935837444634,0.0020934935837444634,0.0020934935837444634,0.09413333333333335
d2_5,b,p08,0.2,mse,0.008373974334977854,0.008373974334977854,0.008373974334977854,0.12913333333333332
d2_5,b,p08,0.3,mse,0.018841442253700165,0.018841442253700165,0.018841442253700165,0.14040000000000002
d2_5,b,p08,0.4,mse,0.033495897339911415,0.033495897339911415,0.033495897339911415,0.14466666666666667
d2_5,b,p08,0.5,mse,0.05233733959361157,0.05233733959361157,0.05233733959361157,0.1472666666666667
d2_5,b,p08,0.65,mse,0.08845010391320358,0.08845010391320358,0.08845010391320358,0.14806666666666668
d2_5,b,p08,0.8,mse,0.13398358935964566,0.13398358935964566,0.13398358935964566,0.14880000000000002
d2_5,b,p09,0.05,mse,0.0005238020531641963,0.0005238020531641963,0.0005238020531641963,0.00746666666666668
d2_5,b,p09,0.1,mse,0.0020952082126567853,0.0020952082126567853,0.0020952082126567853,0.03579999999999999
d2_5,b,p09,0.2,mse,0.008380832850627141,0.008380832850627141,0.008380832850627141,0.11206666666666668
d2_5,b,p09,0.3,mse,0.018856873913911068,0.018856873913911068,0.018856873913911068,0.17720000000000002
d2_5,b,p09,0.4,mse,0.033523331402508565,0.033523331402508565,0.033523331402508565,0.23479999999999998
d2_5,b,p09,0.5,mse,0.05238020531641962,0.05238020531641962,0.05238020531641962,0.2750666666666667
d2_5,b,p09,0.65,mse,0.08852254698474918,0.08852254698474918,0.08852254698474918,0.3254
d2_5,b,p09,0.8,mse,0.13409332561003426,0.13409332561003426,0.13409332561003426,0.3519333333333334
d2_5,b,p10,0.05,mse,0.0005233733959361159,0.0005233733959361159,0.0005233733959361159,0.03153333333333335
d2_5,b,p10,0.1,mse,0.0020934935837444634,0.0020934935837444634,0.0020934935837444634,0.13940000000000002
d2_5,b,p10,0.2,mse,0.008373974334977854,0.008373974334977854,0.008373974334977854,0.2875333333333333
d2_5,b,p10,0.3,mse,0.018841442253700165,0.018841442253700165,0.018841442253700165,0.35613333333333336
d2_5,b,p10,0.4,mse,0.033495897339911415,0.033495897339911415,0.033495897339911415,0.3919333333333333
d2_5,b,p10,0.5,mse,0.05233733959361157,0.05233733959361157,0.05233733959361157,0.4168
d2_5,b,p10,0.65,mse,0.08845010391320358,0.08845010391320358,0.08845010391320358,0.4428
d2_5,b,p10,0.8,mse,0.13398358935964566,0.13398358935964566,0.13398358935964566,0.4575333333333334
d2_5,b,p11,0.05,mse,0.0,0.0,0.0,-0.03639999999999999
d2_5,b,p11,0.1,mse,0.0,0.0,0.0,-0.05939999999999999
d2_5,b,p11,0.2,mse,0.0,0.0,0.0,-0.06973333333333333
d2_5,b,p11,0.3,mse,0.0,0.0,0.0,-0.03933333333333332
d2_5,b,p11,0.4,mse,0.0,0.0,0.0,-0.026466666666666656
d2_5,b,p11,0.5,mse,0.0,0.0,0.0,-0.067
d2_5,b,p11,0.65,mse,0.0,0.0,0.0,-0.04233333333333333
